,price,area,bedrooms,bathrooms,mainroad,guestroom
0,13300000,7420,4,2,yes,no
1,12250000,8960,4,4,yes,no
2,12250000,9960,3,2,yes,no
3,12215000,7500,4,2,yes,no
4,11410000,7420,4,1,yes,yes
5,10850000,7500,3,3,yes,no
6,10150000,8580,4,3,yes,no
7,10150000,16200,5,3,yes,no
8,9870000,8100,4,1,yes,yes
9,9800000,5750,3,2,yes,yes
10,9800000,13200,3,1,yes,no
11,9681000,6000,4,3,yes,yes
12,9310000,6550,4,2,yes,no
13,9240000,3500,4,2,yes,no
14,9240000,7800,3,2,yes,no
15,9100000,6000,4,1,yes,no
16,9100000,6600,4,2,yes,yes
17,8960000,8500,3,2,yes,no
18,8890000,4600,3,2,yes,yes
19,8855000,6420,3,2,yes,no
20,8750000,4320,3,1,yes,no
21,8680000,7155,3,2,yes,yes
22,8645000,8050,3,1,yes,yes
23,8645000,4560,3,2,yes,yes
24,8575000,8800,3,2,yes,no
25,8540000,6540,4,2,yes,yes
26,8463000,6000,3,2,yes,yes
27,8400000,8875,3,1,yes,no
28,8400000,7950,5,2,yes,no
29,8400000,5500,4,2,yes,no
30,8400000,7475,3,2,yes,no
31,8400000,7000,3,1,yes,no
32,8295000,4880,4,2,yes,no
33,8190000,5960,3,3,yes,yes
34,8120000,6840,5,1,yes,yes
35,8080940,7000,3,2,yes,no
36,8043000,7482,3,2,yes,no
37,7980000,9000,4,2,yes,no
38,7962500,6000,3,1,yes,yes
39,7910000,6000,4,2,yes,no
40,7875000,6550,3,1,yes,no
41,7840000,6360,3,2,yes,no
42,7700000,6480,3,2,yes,no
43,7700000,6000,4,2,yes,no
44,7560000,6000,4,2,yes,no
45,7560000,6000,3,2,yes,no
46,7525000,6000,3,2,yes,no
47,7490000,6600,3,1,yes,no
48,7455000,4300,3,2,yes,no
49,7420000,7440,3,2,yes,yes
50,7420000,7440,3,2,yes,no
51,7420000,6325,3,1,yes,no
52,7350000,6000,4,2,yes,yes
53,7350000,5150,3,2,yes,no
54,7350000,6000,3,2,yes,yes
55,7350000,6000,3,1,yes,no
56,7343000,11440,4,1,yes,no
57,7245000,9000,4,2,yes,yes
58,7210000,7680,4,2,yes,yes
59,7210000,6000,3,2,yes,yes
60,7140000,6000,3,2,yes,yes
61,7070000,8880,2,1,yes,no
62,7070000,6240,4,2,yes,no
63,7035000,6360,4,2,yes,no
64,7000000,11175,3,1,yes,no
65,6930000,8880,3,2,yes,no
66,6930000,13200,2,1,yes,no
67,6895000,7700,3,2,yes,no
68,6860000,6000,3,1,yes,no
69,6790000,12090,4,2,yes,no
70,6790000,4000,3,2,yes,no
71,6755000,6000,4,2,yes,no
72,6720000,5020,3,1,yes,no
73,6685000,6600,2,2,yes,no
74,6650000,4040,3,1,yes,no
75,6650000,4260,4,2,yes,no
76,6650000,6420,3,2,yes,no
77,6650000,6500,3,2,yes,no
78,6650000,5700,3,1,yes,yes
79,6650000,6000,3,2,yes,yes
80,6629000,6000,3,1,yes,no
81,6615000,4000,3,2,yes,no
82,6615000,10500,3,2,yes,no
83,6580000,6000,3,2,yes,no
84,6510000,3760,3,1,yes,no
85,6510000,8250,3,2,yes,no
86,6510000,6670,3,1,yes,no
87,6475000,3960,3,1,yes,no
88,6475000,7410,3,1,yes,yes
89,6440000,8580,5,3,yes,no
90,6440000,5000,3,1,yes,no
91,6419000,6750,2,1,yes,yes
92,6405000,4800,3,2,yes,yes
93,6300000,7200,3,2,yes,no
94,6300000,6000,4,2,yes,no
95,6300000,4100,3,2,yes,no
96,6300000,9000,3,1,yes,no
97,6300000,6400,3,1,yes,yes
98,6293000,6600,3,2,yes,no
99,6265000,6000,4,1,yes,yes
100,6230000,6600,3,2,yes,no
101,6230000,5500,3,1,yes,no
102,6195000,5500,3,2,yes,yes
103,6195000,6350,3,2,yes,yes
104,6195000,5500,3,2,yes,yes
105,6160000,4500,3,1,yes,no
106,6160000,5450,4,2,yes,no
107,6125000,6420,3,1,yes,no
108,6107500,3240,4,1,yes,no
109,6090000,6615,4,2,yes,yes
110,6090000,6600,3,1,yes,yes
111,6090000,8372,3,1,yes,no
112,6083000,4300,6,2,yes,no
113,6083000,9620,3,1,yes,no
114,6020000,6800,2,1,yes,yes
115,6020000,8000,3,1,yes,yes
116,6020000,6900,3,2,yes,yes
117,5950000,3700,4,1,yes,yes
118,5950000,6420,3,1,yes,no
119,5950000,7020,3,1,yes,no
120,5950000,6540,3,1,yes,yes
121,5950000,7231,3,1,yes,yes
122,5950000,6254,4,2,yes,no
123,5950000,7320,4,2,yes,no
124,5950000,6525,3,2,yes,no
125,5943000,15600,3,1,yes,no
126,5880000,7160,3,1,yes,no
127,5880000,6500,3,2,yes,no
128,5873000,5500,3,1,yes,yes
129,5873000,11460,3,1,yes,no
130,5866000,4800,3,1,yes,yes
131,5810000,5828,4,1,yes,yes
132,5810000,5200,3,1,yes,no
133,5810000,4800,3,1,yes,no
134,5803000,7000,3,1,yes,no
135,5775000,6000,3,2,yes,no
136,5740000,5400,4,2,yes,no
137,5740000,4640,4,1,yes,no
138,5740000,5000,3,1,yes,no
139,5740000,6360,3,1,yes,yes
140,5740000,5800,3,2,yes,no
141,5652500,6660,4,2,yes,yes
142,5600000,10500,4,2,yes,no
143,5600000,4800,5,2,no,no
144,5600000,4700,4,1,yes,yes
145,5600000,5000,3,1,yes,no
146,5600000,10500,2,1,yes,no
147,5600000,5500,3,2,yes,no
148,5600000,6360,3,1,yes,no
149,5600000,6600,4,2,yes,no
150,5600000,5136,3,1,yes,yes
151,5565000,4400,4,1,yes,no
152,5565000,5400,5,1,yes,yes
153,5530000,3300,3,3,yes,no
154,5530000,3650,3,2,yes,no
155,5530000,6100,3,2,yes,no
156,5523000,6900,3,1,yes,yes
157,5495000,2817,4,2,no,yes
158,5495000,7980,3,1,yes,no
159,5460000,3150,3,2,yes,yes
160,5460000,6210,4,1,yes,yes
161,5460000,6100,3,1,yes,yes
162,5460000,6600,4,2,yes,yes
163,5425000,6825,3,1,yes,yes
164,5390000,6710,3,2,yes,yes
165,5383000,6450,3,2,yes,yes
166,5320000,7800,3,1,yes,no
167,5285000,4600,2,2,yes,no
168,5250000,4260,4,1,yes,no
169,5250000,6540,4,2,no,no
170,5250000,5500,3,2,yes,no
171,5250000,10269,3,1,yes,no
172,5250000,8400,3,1,yes,yes
173,5250000,5300,4,2,yes,no
174,5250000,3800,3,1,yes,yes
175,5250000,9800,4,2,yes,yes
176,5250000,8520,3,1,yes,no
177,5243000,6050,3,1,yes,no
178,5229000,7085,3,1,yes,yes
179,5215000,3180,3,2,yes,no
180,5215000,4500,4,2,no,no
